Time(s),CH1(V)
-5.4957E-05,2.292010E-01
-5.4957E-05,2.292010E-01
-5.4957E-05,2.292010E-01
-5.4957E-05,2.250970E-01
-5.4957E-05,2.209929E-01
-5.4957E-05,2.250970E-01
-5.4957E-05,2.333051E-01
-5.4957E-05,2.374091E-01
-5.4957E-05,2.374091E-01
-5.4957E-05,2.292010E-01
-5.4956E-05,2.250970E-01
-5.4956E-05,2.333051E-01
-5.4956E-05,2.374091E-01
-5.4956E-05,2.374091E-01
-5.4956E-05,2.333051E-01
-5.4956E-05,2.292010E-01
-5.4956E-05,2.292010E-01
-5.4956E-05,2.250970E-01
-5.4956E-05,2.209929E-01
-5.4956E-05,2.127849E-01
-5.4955E-05,2.086808E-01
-5.4955E-05,2.004727E-01
-5.4955E-05,1.963687E-01
-5.4955E-05,2.004727E-01
-5.4955E-05,1.922647E-01
-5.4955E-05,1.840566E-01
-5.4955E-05,1.758485E-01
-5.4955E-05,1.676404E-01
-5.4955E-05,1.594323E-01
-5.4955E-05,1.512243E-01
-5.4954E-05,1.348081E-01
-5.4954E-05,1.183919E-01
-5.4954E-05,1.060798E-01
-5.4954E-05,9.376770E-02
-5.4954E-05,8.145557E-02
-5.4954E-05,6.093538E-02
-5.4954E-05,4.451922E-02
-5.4954E-05,2.810306E-02
-5.4954E-05,1.579094E-02
-5.4954E-05,3.478815E-03
-5.4953E-05,-1.293735E-02
-5.4953E-05,-3.756158E-02
-5.4953E-05,-6.218583E-02
-5.4953E-05,-8.270603E-02
-5.4953E-05,-9.912219E-02
-5.4953E-05,-1.155384E-01
-5.4953E-05,-1.278505E-01
-5.4953E-05,-1.360586E-01
-5.4953E-05,-1.401626E-01
-5.4953E-05,-1.401626E-01
-5.4952E-05,-1.483707E-01
-5.4952E-05,-1.565787E-01
-5.4952E-05,-1.565787E-01
-5.4952E-05,-1.606828E-01
-5.4952E-05,-1.647868E-01
-5.4952E-05,-1.647868E-01
-5.4952E-05,-1.606828E-01
-5.4952E-05,-1.647868E-01
-5.4952E-05,-1.606828E-01
-5.4952E-05,-1.647868E-01
-5.4951E-05,-1.606828E-01
-5.4951E-05,-1.524747E-01
-5.4951E-05,-1.565787E-01
-5.4951E-05,-1.606828E-01
-5.4951E-05,-1.524747E-01
-5.4951E-05,-1.483707E-01
-5.4951E-05,-1.442666E-01
-5.4951E-05,-1.442666E-01
-5.4951E-05,-1.442666E-01
-5.4951E-05,-1.401626E-01
-5.4950E-05,-1.442666E-01
-5.4950E-05,-1.565787E-01
-5.4950E-05,-1.647868E-01
-5.4950E-05,-1.688909E-01
-5.4950E-05,-1.688909E-01
-5.4950E-05,-1.729949E-01
-5.4950E-05,-1.729949E-01
-5.4950E-05,-1.729949E-01
-5.4950E-05,-1.812030E-01
-5.4950E-05,-1.812030E-01
-5.4949E-05,-1.770989E-01
-5.4949E-05,-1.812030E-01
-5.4949E-05,-1.894111E-01
-5.4949E-05,-1.976192E-01
-5.4949E-05,-2.058272E-01
-5.4949E-05,-2.099313E-01
-5.4949E-05,-2.099313E-01
-5.4949E-05,-2.140353E-01
-5.4949E-05,-2.140353E-01
-5.4949E-05,-2.099313E-01
-5.4948E-05,-2.058272E-01
-5.4948E-05,-2.058272E-01
-5.4948E-05,-1.976192E-01
-5.4948E-05,-1.853070E-01
-5.4948E-05,-1.853070E-01
-5.4948E-05,-1.770989E-01
-5.4948E-05,-1.647868E-01
-5.4948E-05,-1.524747E-01
-5.4948E-05,-1.401626E-01
-5.4948E-05,-1.278505E-01
-5.4947E-05,-1.155384E-01
-5.4947E-05,-9.912219E-02
-5.4947E-05,-7.860199E-02
-5.4947E-05,-5.808179E-02
-5.4947E-05,-4.166562E-02
-5.4947E-05,-2.114543E-02
-5.4947E-05,-8.833305E-03
-5.4947E-05,7.582855E-03
-5.4947E-05,2.810306E-02
-5.4947E-05,5.272730E-02
-5.4946E-05,7.735154E-02
-5.4946E-05,9.787174E-02
-5.4946E-05,1.142879E-01
-5.4946E-05,1.266000E-01
-5.4946E-05,1.430162E-01
-5.4946E-05,1.553283E-01
-5.4946E-05,1.676404E-01
-5.4946E-05,1.799525E-01
-5.4946E-05,1.922647E-01
-5.4946E-05,2.004727E-01
-5.4945E-05,2.045768E-01
-5.4945E-05,2.045768E-01
-5.4945E-05,2.045768E-01
-5.4945E-05,2.127849E-01
-5.4945E-05,2.292010E-01
-5.4945E-05,2.374091E-01
-5.4945E-05,2.333051E-01
-5.4945E-05,2.333051E-01
-5.4945E-05,2.415131E-01
-5.4945E-05,2.415131E-01
-5.4944E-05,2.374091E-01
-5.4944E-05,2.333051E-01
-5.4944E-05,2.333051E-01
-5.4944E-05,2.374091E-01
-5.4944E-05,2.374091E-01
-5.4944E-05,2.333051E-01
-5.4944E-05,2.292010E-01
-5.4944E-05,2.250970E-01
-5.4944E-05,2.209929E-01
-5.4944E-05,2.209929E-01
-5.4943E-05,2.209929E-01
-5.4943E-05,2.209929E-01
-5.4943E-05,2.209929E-01
-5.4943E-05,2.168889E-01
-5.4943E-05,2.127849E-01
-5.4943E-05,2.086808E-01
-5.4943E-05,2.045768E-01
-5.4943E-05,2.045768E-01
-5.4943E-05,2.004727E-01
-5.4943E-05,1.963687E-01
-5.4942E-05,1.881606E-01
-5.4942E-05,1.840566E-01
-5.4942E-05,1.758485E-01
-5.4942E-05,1.635364E-01
-5.4942E-05,1.512243E-01
-5.4942E-05,1.389121E-01
-5.4942E-05,1.307041E-01
-5.4942E-05,1.183919E-01
-5.4942E-05,1.019758E-01
-5.4942E-05,8.555961E-02
