Time(s),CH1(V)
-2.4254E-06,-2.573196E-01
-2.4252E-06,-2.789541E-01
-2.4250E-06,-3.000856E-01
-2.4248E-06,-3.091420E-01
-2.4246E-06,-2.875074E-01
-2.4244E-06,-2.210942E-01
-2.4242E-06,-1.063806E-01
-2.4240E-06,4.003028E-02
-2.4238E-06,1.869442E-01
-2.4236E-06,2.971297E-01
-2.4234E-06,3.449271E-01
-2.4232E-06,3.237956E-01
-2.4230E-06,2.508418E-01
-2.4228E-06,1.567564E-01
-2.4226E-06,7.424312E-02
-2.4224E-06,2.594264E-02
-2.4222E-06,1.990508E-02
-2.4220E-06,5.260853E-02
-2.4218E-06,1.129841E-01
-2.4216E-06,1.879505E-01
-2.4214E-06,2.674451E-01
-2.4212E-06,3.398958E-01
-2.4210E-06,3.937307E-01
-2.4208E-06,4.158684E-01
-2.4206E-06,3.917182E-01
-2.4204E-06,3.147393E-01
-2.4202E-06,1.899630E-01
-2.4200E-06,3.751463E-02
-2.4198E-06,-1.119150E-01
-2.4196E-06,-2.276349E-01
-2.4194E-06,-2.905262E-01
-2.4192E-06,-3.036075E-01
-2.4190E-06,-2.870042E-01
-2.4188E-06,-2.688915E-01
-2.4186E-06,-2.688915E-01
-2.4184E-06,-2.880105E-01
-2.4182E-06,-3.096451E-01
-2.4180E-06,-3.071294E-01
-2.4178E-06,-2.603383E-01
-2.4176E-06,-1.652468E-01
-2.4174E-06,-3.644548E-02
-2.4172E-06,9.939963E-02
-2.4170E-06,2.136101E-01
-2.4168E-06,2.860609E-01
-2.4166E-06,3.071923E-01
-2.4164E-06,2.790170E-01
-2.4162E-06,2.121007E-01
-2.4160E-06,1.245561E-01
-2.4158E-06,3.499898E-02
-2.4156E-06,-3.795487E-02
-2.4154E-06,-8.323658E-02
-2.4152E-06,-9.782735E-02
-2.4150E-06,-8.826787E-02
-2.4148E-06,-6.713641E-02
-2.4146E-06,-4.801747E-02
-2.4144E-06,-4.147678E-02
-2.4142E-06,-5.153938E-02
-2.4140E-06,-7.870840E-02
-2.4138E-06,-1.174494E-01
-2.4136E-06,-1.617249E-01
-2.4134E-06,-2.039878E-01
-2.4132E-06,-2.376975E-01
-2.4130E-06,-2.588289E-01
-2.4128E-06,-2.693947E-01
-2.4126E-06,-2.764385E-01
-2.4124E-06,-2.849917E-01
-2.4122E-06,-2.940480E-01
-2.4120E-06,-2.910293E-01
-2.4118E-06,-2.537977E-01
-2.4116E-06,-1.632342E-01
-2.4114E-06,-1.883593E-02
-2.4112E-06,1.542408E-01
-2.4110E-06,3.081986E-01
-2.4108E-06,3.947369E-01
-2.4106E-06,3.856806E-01
-2.4104E-06,2.926016E-01
-2.4102E-06,1.627940E-01
-2.4100E-06,5.864609E-02
-2.4098E-06,2.644577E-02
-2.4096E-06,7.726190E-02
-2.4094E-06,1.809067E-01
-2.4092E-06,2.890796E-01
-2.4090E-06,3.575053E-01
-2.4088E-06,3.715930E-01
-2.4086E-06,3.474427E-01
-2.4084E-06,3.157455E-01
-2.4082E-06,3.016579E-01
-2.4080E-06,3.066892E-01
-2.4078E-06,3.092048E-01
-2.4076E-06,2.775077E-01
-2.4074E-06,1.904662E-01
-2.4072E-06,5.361479E-02
-2.4070E-06,-1.048712E-01
-2.4068E-06,-2.457476E-01
-2.4066E-06,-3.358079E-01
-2.4064E-06,-3.639831E-01
-2.4062E-06,-3.418454E-01
-2.4060E-06,-2.930418E-01
-2.4058E-06,-2.397100E-01
-2.4056E-06,-1.934220E-01
-2.4054E-06,-1.506560E-01
-2.4052E-06,-1.018524E-01
-2.4050E-06,-3.946426E-02
-2.4048E-06,3.600524E-02
-2.4046E-06,1.134873E-01
-2.4044E-06,1.778879E-01
-2.4042E-06,2.166289E-01
-2.4040E-06,2.241759E-01
-2.4038E-06,2.025413E-01
-2.4036E-06,1.612846E-01
-2.4034E-06,1.104685E-01
-2.4032E-06,5.965235E-02
-2.4030E-06,1.487378E-02
-2.4028E-06,-1.933906E-02
-2.4026E-06,-4.298617E-02
-2.4024E-06,-5.606755E-02
-2.4022E-06,-6.361450E-02
-2.4020E-06,-6.914894E-02
-2.4018E-06,-7.719901E-02
-2.4016E-06,-9.078352E-02
-2.4014E-06,-1.114119E-01
-2.4012E-06,-1.380778E-01
-2.4010E-06,-1.692718E-01
-2.4008E-06,-2.019753E-01
-2.4006E-06,-2.326662E-01
-2.4004E-06,-2.573196E-01
-2.4002E-06,-2.719103E-01
-2.4000E-06,-2.764385E-01
-2.3998E-06,-2.714072E-01
-2.3996E-06,-2.593321E-01
-2.3994E-06,-2.376975E-01
-2.3992E-06,-2.004659E-01
-2.3990E-06,-1.380778E-01
-2.3988E-06,-4.298617E-02
-2.3986E-06,7.877129E-02
-2.3984E-06,2.045538E-01
-2.3982E-06,2.981360E-01
-2.3980E-06,3.278207E-01
-2.3978E-06,2.815327E-01
-2.3976E-06,1.788942E-01
-2.3974E-06,6.770243E-02
