Time(s),CH1(V),CH2(V),CH3(V),CH4(V)
-1.9943E-04,-4.931176E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-3.500601E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-2.478760E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-1.456920E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-6.394483E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.780237E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.404232E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,2.630440E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,2.528256E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,2.426072E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,1.915152E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,1.404232E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-3.328963E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-2.070024E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-3.398417E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-4.726809E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-6.566121E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-8.405433E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-8.814169E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-9.222905E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-9.631640E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-1.004038E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-9.836008E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-9.631640E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-8.201064E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-6.770489E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-5.646465E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-4.522441E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-3.398417E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-2.274392E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-3.328963E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,1.608600E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,3.039176E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,4.469752E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,6.615616E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,8.761480E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,1.019206E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,1.162263E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,1.346194E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,1.530126E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,1.530126E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,1.530126E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,1.479034E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,1.427942E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,1.325758E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,1.223574E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,1.008987E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,7.944008E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,5.287224E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,2.630440E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,1.506416E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,3.823917E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-1.456920E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-3.296232E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-4.318072E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-5.339912E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-5.442096E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-5.544281E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9942E-04,-5.953017E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-6.361753E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-6.157384E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-5.953017E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-5.033360E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-4.113704E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-2.683128E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-1.252552E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-4.350803E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,3.823917E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.404232E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,2.426072E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.710784E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,9.954957E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.097680E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.199864E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.780237E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-8.438163E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-2.070024E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-3.296232E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-5.748649E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-8.201064E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-9.222905E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-1.024474E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-1.096003E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-1.167532E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-1.116440E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-1.065348E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-1.014256E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-9.631640E-02,4.757636E-01,4.804238E-01,4.602837E-01
