LECROYWR640Zi,60762,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,19-Jun-2025 15:10:30,0                 
Time,Ampl
-5.90754821e-006,-1.6276e-006
-5.90749821e-006,6.30697e-005
-5.90744821e-006,8.6263e-005
-5.90739821e-006,5.77799e-005
-5.90734821e-006,-1.38346e-005
-5.90729821e-006,-0.000102132
-5.90724821e-006,-0.000177409
-5.90719821e-006,-0.000213623
-5.90714821e-006,-0.000201009
-5.90709821e-006,-0.000148112
-5.90704821e-006,-7.20215e-005
-5.90699821e-006,8.13802e-007
-5.90694821e-006,4.47591e-005
-5.90689821e-006,3.82487e-005
-5.90684821e-006,-1.50553e-005
-5.90679821e-006,-8.05664e-005
-5.90674821e-006,-0.000131022
-5.90669821e-006,-0.000154622
-5.90664821e-006,-0.000151367
-5.90659821e-006,-0.000126546
-5.90654821e-006,-9.07389e-005
-5.90649821e-006,-6.1849e-005
-5.90644821e-006,-4.19108e-005
-5.90639821e-006,-1.6276e-005
-5.90634821e-006,1.2207e-005
-5.90629821e-006,2.31934e-005
-5.90624821e-006,2.36003e-005
-5.90619821e-006,2.36003e-005
-5.90614821e-006,8.13802e-007
-5.90609821e-006,-5.65592e-005
-5.90604821e-006,-0.000147705
-5.90599821e-006,-0.000266927
-5.90594821e-006,-0.000377604
-5.90589821e-006,-0.000441081
-5.90584821e-006,-0.000437419
-5.90579821e-006,-0.000374349
-5.90574821e-006,-0.000280355
-5.90569821e-006,-0.000170898
-5.90564821e-006,-5.61523e-005
-5.90559821e-006,4.43522e-005
-5.90554821e-006,0.000124512
-5.90549821e-006,0.000184326
-5.90544821e-006,0.000228678
-5.90539821e-006,0.000267334
-5.90534821e-006,0.000297038
-5.90529821e-006,0.000303955
-5.90524821e-006,0.000275472
-5.90519821e-006,0.000203451
-5.90514821e-006,9.52148e-005
-5.90509821e-006,-2.40072e-005
-5.90504821e-006,-0.000131836
-5.90499821e-006,-0.000204264
-5.90494821e-006,-0.000224202
-5.90489821e-006,-0.000182292
-5.90484821e-006,-9.52148e-005
-5.90479821e-006,1.6276e-006
-5.90474821e-006,9.35872e-005
-5.90469821e-006,0.000180257
